u,v,moda
mdn,sbg,TRUK
mdn,sbg,TRUK
pbr,pad,TRUK
pbr,pad,TRUK
pbr,pad,TRUK
pbr,pad,TRUK
pbr,pad,TRUK
pbr,pad,TRUK
pbr,pad,TRUK
pbr,pad,TRUK
pbr,pad,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
jmb,plg,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
jmb,plg,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,jmb,TRUK
plg,pgp,TRUK
plg,pgp,TRUK
plg,pgp,TRUK
plg,pgp,TRUK
plg,pgp,TRUK
plg,pgp,TRUK
pgp,plg,TRUK
pgp,plg,TRUK
plg,pgp,TRUK
plg,pgp,TRUK
plg,pgp,TRUK
plg,pgp,TRUK
plg,pgp,TRUK
plg,pgp,TRUK
bdl,bgl,TRUK
bdl,bgl,TRUK
bdl,bgl,TRUK
bdl,bgl,TRUK
bdl,bgl,TRUK
bdl,bgl,TRUK
bdl,bgl,TRUK
bdg,tsm,TRUK
bdg,tsm,TRUK
bdg,tsm,TRUK
bdg,tsm,TRUK
bdg,tsm,TRUK
bdg,tsm,TRUK
bdg,tsm,TRUK
bdg,tsm,TRUK
bdg,tsm,TRUK
bdg,tsm,TRUK
bdg,tsm,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,slo,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,yyk,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,pwt,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
smg,tgl,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,jmr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,kdr,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,mlg,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
sby,dpr,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bjm,plk,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,smr,TRUK
bpp,pal,TRUK
bpp,pal,TRUK
bpp,pal,TRUK
bpp,pal,TRUK
bpp,pal,TRUK
bpp,pal,TRUK
bpp,pal,TRUK
bpp,pal,TRUK
bpp,tar,TRUK
bpp,tar,TRUK
bpp,tar,TRUK
bpp,tar,TRUK
bpp,tar,TRUK
bpp,tar,TRUK
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
dpr,mtr,KPNG
mks,mam,TRUK
mks,mam,TRUK
mks,mam,TRUK
mks,mam,TRUK
mks,mam,TRUK
mks,mam,TRUK
mks,kpg,KBRG
mks,kpg,KBRG
mks,kpg,KBRG
mks,kpg,KBRG
mks,kpg,KBRG
mks,kdi,TRUK
mks,kdi,TRUK
mks,kdi,TRUK
mks,kdi,TRUK
mks,kdi,TRUK
mks,amb,KBRG
mks,amb,KBRG
mks,amb,KBRG
mks,amb,KBRG
mks,mnk,KBRG
mks,jap,KBRG
mks,jap,KBRG
mks,jap,KBRG
mks,jap,KBRG
mnd,tte,KPNG
mnd,tte,KPNG
mnd,tte,KPNG
mnd,gto,TRUK
